country,survey,unit_name,unit_code,entries_count,priority
MWI,IHS5,KILOGRAMME,1,29189,1
MWI,IHS5,HEAP MEDIUM,10B,24071,1
MWI,IHS5,PIECE,9,20473,1
MWI,IHS5,HEAP SMALL,10A,15566,1
MWI,IHS5,HEAP LARGE,10C,13767,1
MWI,IHS5,LITRE,15,11272,1
MWI,IHS5,PIECE MEDIUM,9B,10851,1
MWI,IHS5,PIECE SMALL,9A,6587,1
MWI,IHS5,PIECE LARGE,9C,5590,1
MWI,IHS5,TINA HEAPED,25B,5318,1
MWI,IHS5,TINA,25,4987,1
MWI,IHS5,SATCHET/TUBE,22,4808,1
MWI,IHS5,PACKET,51,3674,1
MWI,IHS5,HEAP,10,3310,1
MWI,IHS5,PAIL SMALL,4A,2733,1
MWI,IHS5,TINA FLAT,25A,2559,1
MWI,IHS5,SATCHET/TUBE 25G,41,2475,1
MWI,IHS5,5 LITRE BUCKET CHIGOBA,26,2436,4
MWI,IHS5,PAIL MEDIUM,4B,2206,1
MWI,IHS5,NO. 10 PLATE HEAPED,6B,2022,4
MWI,IHS5,GRAM,18,1955,1
MWI,IHS5,TEASPOON,20,1646,1
MWI,IHS5,NO. 12 PLATE HEAPED,7B,1631,4
MWI,IHS5,LOAF 600G,32,1630,1
MWI,IHS5,PAIL LARGE,4C,1564,1
MWI,IHS5,NO. 10 PLATE FLAT,6A,1542,4
MWI,IHS5,SATCHET/TUBE 50G,42,1530,1
MWI,IHS5,MILLILITRE,19,1520,1
MWI,IHS5,CLUSTER MEDIUM,44B,1442,1
MWI,IHS5,CLUSTER SMALL,44A,1427,1
MWI,IHS5,TABLESPOON,59,1388,1
MWI,IHS5,NO. 12 PLATE,7,1353,4
MWI,IHS5,NO. 10 PLATE,6,1001,4
MWI,IHS5,SATCHET,22,957,2
MWI,IHS5,PACKET 150G,34,682,1
MWI,IHS5,NO. 12 PLATE FLAT,7A,676,4
MWI,IHS5,LOAF 300G,31,655,1
MWI,IHS5,CLUSTER LARGE,44C,648,1
MWI,IHS5,SATCHET/TUBE 100G,43,600,1
MWI,IHS5,PACKET 250G,65,502,1
MWI,IHS5,BASIN,97,437,2
MWI,IHS5,PACKET UNSPECIFIED,51,408,2
MWI,IHS5,BASIN SMALL FLAT,27D,340,1
MWI,IHS5,WHOLE,76,338,2
MWI,IHS5,PLATE,7,326,2
MWI,IHS5,BOTTLE SMALL,15,324,2
MWI,IHS5,PACKET 400G,35,288,1
MWI,IHS5,GRAMS,18,281,2
MWI,IHS5,CUP,84,268,2
MWI,IHS5,TIN 250G,72,258,1
MWI,IHS5,BASIN SMALL HEAPED,27E,257,1
MWI,IHS5,PAIL,4,250,1
MWI,IHS5,PACKET SMALL,54,215,2
MWI,IHS5,TIN 100G,71,169,1
MWI,IHS5,BUNCH,8,164,2
MWI,IHS5,LOAF 700G,33,157,1
MWI,IHS5,SATCHET/TUBE SMALL,22A,150,1
MWI,IHS5,PACKET 500G,36,141,1
MWI,IHS5,5L BUCKET,26,116,2
MWI,IHS5,BASIN SMALL,27A,110,1
MWI,IHS5,50 GRAM,42,104,2
MWI,IHS5,TIN 500G,73,101,1
MWI,IHS5,SATCHET/TUBE MEDIUM,22B,97,1
MWI,IHS5,90 GRAM,99,90,3
MWI,IHS5,TABLE SPOON,59,78,2
MWI,IHS5,TINA SMALL,25,74,4
MWI,IHS5,BUNCH MEDIUM,8B,56,1
MWI,IHS5,KILOGRAM,1,56,2
MWI,IHS5,SMALL PACKET,54,54,2
MWI,IHS5,BUNCH LARGE,8C,46,1
MWI,IHS5,100 GRAM,99A,42,3
MWI,IHS5,TINA LARGE,25C,42,4
MWI,IHS5,BUNCH SMALL,8A,40,1
MWI,IHS5,PACKET MEDIUM,51,33,2
MWI,IHS5,SERVING,23,32,4
MWI,IHS5,MEAL,94,26,3
MWI,IHS5,TEA BAG,23,26,4
MWI,IHS5,POT,23,25,4
MWI,IHS5,MANGO,9,22,2
MWI,IHS5,N/A,23,21,4
MWI,IHS5,TRAY,75,19,2
MWI,IHS5,MEALS,94,18,3
MWI,IHS5,SATCHET/TUBE LARGE,22C,18,1
MWI,IHS5,SMALL BOTTLE,23,17,4
MWI,IHS5,SATCHET SMALL,22A,16,2
MWI,IHS5,DOZEN,78,14,2
MWI,IHS5,500 GRAM,99E,11,3F
MWI,IHS5,125G PACKET,99C,10,3
MWI,IHS5,200 GRAM,99D,10,3
MWI,IHS5,50 KG,23,10,4
MWI,IHS5,PAIL UNSPECIFIED,4D,10,2
MWI,IHS5,BATCHES,8,7,2
MWI,IHS5,PACKET 25G,70,7,4
MWI,IHS5,BUNDLE,8,6,2
MWI,IHS5,CRATE,23,6,4
MWI,IHS5,HANDFUL,23,6,4
MWI,IHS5,SMALL SACHET,22A,6,2
MWI,IHS5,CLUSTER,44,5,1
MWI,IHS5,PACKET 1KG,37,5,1
MWI,IHS5,POLYTHENE BAG,23,5,4
MWI,IHS5,10L BUCKET,81,4,2
MWI,IHS5,GABA PAIL,4F,4,2
MWI,IHS5,SMALL TIN,71,4,2
MWI,IHS5,COB,77,3,2
MWI,IHS5,HEAP SMALL,10A,3,4
MWI,IHS5,NDOWA,23,3,4
MWI,IHS5,PACKET LARGE,55,3,1
MWI,IHS5,PACKET MEDIUM,23,3,4
MWI,IHS5,SCUD,23,3,4
MWI,IHS5,SMALL DENGU,23,3,4
MWI,IHS5,SMALL HEAP,10A,3,2
MWI,IHS5,SMALL POT,23,3,4
MWI,IHS5,149G TIN,23,2,4
MWI,IHS5,20 LITRE PAIL,4E,2,2
MWI,IHS5,300GRAMS,99G,2,3
MWI,IHS5,70 GRAM,23,2,4
MWI,IHS5,CHIKANG'A,23,2,4
MWI,IHS5,CONTAINER SMALL,23,2,4
MWI,IHS5,FULL,79,2,2
MWI,IHS5,GLASS,23,2,4
MWI,IHS5,HALF LOAF,23,2,4
MWI,IHS5,LARGE BASKET,23,2,4
MWI,IHS5,LARGE HEAP,10C,2,2
MWI,IHS5,MEDIUM BOTTLE,23,2,4
MWI,IHS5,MEDIUM PACKET,51,2,2
MWI,IHS5,MEDIUM POT,23,2,4
MWI,IHS5,MEDIUM SACHET,22B,2,2
MWI,IHS5,RUBE,83,2,3
MWI,IHS5,SMALL TINA FLAT,25A,2,2
MWI,IHS5,SPONS,23,2,4
MWI,IHS5,VELMOT,23,2,4
MWI,IHS5,1000G PACKET,23,1,4
MWI,IHS5,10G PACKET,23,1,4
MWI,IHS5,10KG PAIL,23,1,4
MWI,IHS5,135G PACKET,23,1,4
MWI,IHS5,1LITRE BOTTLE SUPER,23,1,4
MWI,IHS5,20G,23,1,4
MWI,IHS5,25 GRAM SATCHET,23,1,4
MWI,IHS5,250 GRAM,23,1,4
MWI,IHS5,350L BOTTLE,23,1,4
MWI,IHS5,3LITRE BUCKET,82,1,2
MWI,IHS5,6 PACK,23,1,4
MWI,IHS5,60 GRAMS,99F,1,3
MWI,IHS5,80G PACKET,23,1,4
MWI,IHS5,BAKERY DONAS,23,1,4
MWI,IHS5,BAR,23,1,4
MWI,IHS5,BIG PACKET,55,1,2
MWI,IHS5,BIG POT,23,1,4
MWI,IHS5,BOX SMALL,23,1,4
MWI,IHS5,CAN,23,1,4
MWI,IHS5,CARTON SMALL,23,1,4
MWI,IHS5,CHISA,23,1,4
MWI,IHS5,CLOVE,23,1,4
MWI,IHS5,CUBES,23,1,4
MWI,IHS5,DROPS,23,1,4
MWI,IHS5,G,18,1,2
MWI,IHS5,HALF PACKET,23,1,4
MWI,IHS5,HALF PAIL,4G,1,2
MWI,IHS5,HEAP TINA,25B,1,2
MWI,IHS5,JAG,23,1,4
MWI,IHS5,JAR,23,1,4
MWI,IHS5,LARGE NDOWA,23,1,4
MWI,IHS5,LARGE POT,23,1,4
MWI,IHS5,LARGE SATCHET,23,1,4
MWI,IHS5,LARGE TINA,23,1,4
MWI,IHS5,LOAF,23,1,4
MWI,IHS5,MEALS AT WORK,23,1,4
MWI,IHS5,MEDIAM SACHET,22B,1,2
MWI,IHS5,MEDIUM BASKET,23,1,4
MWI,IHS5,MEDIUM TINS,23,1,4
MWI,IHS5,PACKET 300G,23,1,4
MWI,IHS5,PACKET OF 125 GRAMS,23,1,4
MWI,IHS5,QUARTER,80,1,2
MWI,IHS5,QUOTER,23,1,4
MWI,IHS5,QUOTER BOTTLE,23,1,4
MWI,IHS5,SA HETS,22,1,2
MWI,IHS5,SACHET LARGE,23,1,4
MWI,IHS5,SATCHET/ PACKET,23,1,4
MWI,IHS5,SAUCER,23,1,4
MWI,IHS5,SLICE,23,1,4
MWI,IHS5,SMALL BOX TEA BAGS,23,1,4
MWI,IHS5,SMALL BUCKET,23,1,4
MWI,IHS5,SMALL NALI,23,1,4
MWI,IHS5,SMALL PACKAGE,54,1,2
MWI,IHS5,SMALL PACKET GOLD TEA,23,1,4
MWI,IHS5,SMALL POCKET,54,1,2
MWI,IHS5,SMALL SARCHET,22A,1,2
MWI,IHS5,SMALL TABLE SALT PACKETS,23,1,4
MWI,IHS5,SPICE LEAVES,23,1,4
MWI,IHS5,TABLESALT PACKET,51,1,2
MWI,IHS5,TABLESOAT,23,1,4
MWI,IHS5,TAKEAWAY BOX,23,1,4
MWI,IHS5,TBE,22,1,2
MWI,IHS5,TEA AND SNACKS,23,1,4
MWI,IHS5,TIMES,23,1,4
MWI,IHS5,TINA MEDIUM,23,1,4
MWI,IHS5,TONEC,23,1,4
MWI,IHS5,TOTI,23,1,4
MWI,IHS5,TUB,22,1,2
MWI,IHS5,VETA,23,1,4
MWI,IHS5,WINNOWER,23,1,4
MWI,IHS5,LARGE SATCHET,22C,0,2
MWI,IHS5,OTHER SPECIFY,23,0,1
MWI,IHS5,SACHET LARGE,22C,0,2
MWI,IHS5,PACKET 150 GRAMS,34,0,1
MWI,IHS5,BASIN LARGE,97C,0,4
MWI,IHS5,BASIN MEDIUM,27B,0,4
MWI,IHS5,TIN 1 KG,74,0,4
MWI,IHS5,PACKET 2KG,37B,0,4
MWI,IHS5,60 GRAM,99F,0,3
MWI,IHS5,300 GRAM,99G,0,3
MWI,IHS5,MEDIUM SARCHET,22B,0,2
