age,kcal.m,kcal.f,ame.m,ame.f,afe.m,afe.f
0,0,0,0,0,0,0
1,746,746,0.28,0.28,0.36,0.36
2,1125,1050,0.42,0.4,0.54,0.5
3,1250,1150,0.47,0.43,0.6,0.55
4,1350,1250,0.51,0.47,0.64,0.6
5,1475,1325,0.56,0.5,0.7,0.63
6,1575,1425,0.59,0.54,0.75,0.68
7,1700,1550,0.64,0.58,0.81,0.74
8,1825,1700,0.69,0.64,0.87,0.81
9,1975,1850,0.75,0.7,0.94,0.88
10,2150,2000,0.81,0.75,1.02,0.95
11,2350,2150,0.89,0.81,1.12,1.02
12,2550,2275,0.96,0.86,1.21,1.08
13,2775,2375,1.05,0.9,1.32,1.13
14,3000,2450,1.13,0.92,1.43,1.17
15,3175,2500,1.2,0.94,1.51,1.19
16,3325,2500,1.25,0.94,1.58,1.19
17,3400,2500,1.28,0.94,1.62,1.19
18,2650,2100,1,0.79,1.26,1
19,2650,2100,1,0.79,1.26,1
20,2650,2100,1,0.79,1.26,1
21,2650,2100,1,0.79,1.26,1
22,2650,2100,1,0.79,1.26,1
23,2650,2100,1,0.79,1.26,1
24,2650,2100,1,0.79,1.26,1
25,2650,2100,1,0.79,1.26,1
26,2650,2100,1,0.79,1.26,1
27,2650,2100,1,0.79,1.26,1
28,2650,2100,1,0.79,1.26,1
29,2650,2100,1,0.79,1.26,1
30,2600,2050,0.98,0.77,1.24,0.98
31,2600,2050,0.98,0.77,1.24,0.98
32,2600,2050,0.98,0.77,1.24,0.98
33,2600,2050,0.98,0.77,1.24,0.98
34,2600,2050,0.98,0.77,1.24,0.98
35,2600,2050,0.98,0.77,1.24,0.98
36,2600,2050,0.98,0.77,1.24,0.98
37,2600,2050,0.98,0.77,1.24,0.98
38,2600,2050,0.98,0.77,1.24,0.98
39,2600,2050,0.98,0.77,1.24,0.98
40,2600,2050,0.98,0.77,1.24,0.98
41,2600,2050,0.98,0.77,1.24,0.98
42,2600,2050,0.98,0.77,1.24,0.98
43,2600,2050,0.98,0.77,1.24,0.98
44,2600,2050,0.98,0.77,1.24,0.98
45,2600,2050,0.98,0.77,1.24,0.98
46,2600,2050,0.98,0.77,1.24,0.98
47,2600,2050,0.98,0.77,1.24,0.98
48,2600,2050,0.98,0.77,1.24,0.98
49,2600,2050,0.98,0.77,1.24,0.98
50,2600,2050,0.98,0.77,1.24,0.98
51,2600,2050,0.98,0.77,1.24,0.98
52,2600,2050,0.98,0.77,1.24,0.98
53,2600,2050,0.98,0.77,1.24,0.98
54,2600,2050,0.98,0.77,1.24,0.98
55,2600,2050,0.98,0.77,1.24,0.98
56,2600,2050,0.98,0.77,1.24,0.98
57,2600,2050,0.98,0.77,1.24,0.98
58,2600,2050,0.98,0.77,1.24,0.98
59,2600,2050,0.98,0.77,1.24,0.98
60,2150,1850,0.81,0.7,1.02,0.88
61,2150,1850,0.81,0.7,1.02,0.88
62,2150,1850,0.81,0.7,1.02,0.88
63,2150,1850,0.81,0.7,1.02,0.88
64,2150,1850,0.81,0.7,1.02,0.88
65,2150,1850,0.81,0.7,1.02,0.88
66,2150,1850,0.81,0.7,1.02,0.88
67,2150,1850,0.81,0.7,1.02,0.88
68,2150,1850,0.81,0.7,1.02,0.88
69,2150,1850,0.81,0.7,1.02,0.88
70,2150,1850,0.81,0.7,1.02,0.88
71,2150,1850,0.81,0.7,1.02,0.88
72,2150,1850,0.81,0.7,1.02,0.88
73,2150,1850,0.81,0.7,1.02,0.88
74,2150,1850,0.81,0.7,1.02,0.88
75,2150,1850,0.81,0.7,1.02,0.88
76,2150,1850,0.81,0.7,1.02,0.88
77,2150,1850,0.81,0.7,1.02,0.88
78,2150,1850,0.81,0.7,1.02,0.88
79,2150,1850,0.81,0.7,1.02,0.88
80,2150,1850,0.81,0.7,1.02,0.88
81,2150,1850,0.81,0.7,1.02,0.88
82,2150,1850,0.81,0.7,1.02,0.88
83,2150,1850,0.81,0.7,1.02,0.88
84,2150,1850,0.81,0.7,1.02,0.88
85,2150,1850,0.81,0.7,1.02,0.88
86,2150,1850,0.81,0.7,1.02,0.88
87,2150,1850,0.81,0.7,1.02,0.88
88,2150,1850,0.81,0.7,1.02,0.88
89,2150,1850,0.81,0.7,1.02,0.88
90,2150,1850,0.81,0.7,1.02,0.88
91,2150,1850,0.81,0.7,1.02,0.88
92,2150,1850,0.81,0.7,1.02,0.88
93,2150,1850,0.81,0.7,1.02,0.88
94,2150,1850,0.81,0.7,1.02,0.88
95,2150,1850,0.81,0.7,1.02,0.88
96,2150,1850,0.81,0.7,1.02,0.88
97,2150,1850,0.81,0.7,1.02,0.88
98,2150,1850,0.81,0.7,1.02,0.88
99,2150,1850,0.81,0.7,1.02,0.88
100,2150,1850,0.81,0.7,1.02,0.88
101,2150,1850,0.81,0.7,1.02,0.88
102,2150,1850,0.81,0.7,1.02,0.88
103,2150,1850,0.81,0.7,1.02,0.88
104,2150,1850,0.81,0.7,1.02,0.88
105,2150,1850,0.81,0.7,1.02,0.88
106,2150,1850,0.81,0.7,1.02,0.88
107,2150,1850,0.81,0.7,1.02,0.88
108,2150,1850,0.81,0.7,1.02,0.88
109,2150,1850,0.81,0.7,1.02,0.88
110,2150,1850,0.81,0.7,1.02,0.88