country,survey_name,survey_food_item_name,standard_original_food_id,standard_original_food_name
MWI,IHS5,ANTELOPE,505,Goat
MWI,IHS5,BAKES,906,Freezes (flavoured ice)
MWI,IHS5,BAKES JUICE,906,Freezes (flavoured ice)
MWI,IHS5,BIRD,509,"Other poultry - guinea fowl, doves, etc"
MWI,IHS5,BONONGWE,404,Nkhwani
MWI,IHS5,BUTTER BEANS,301,"Bean, white"
MWI,IHS5,CASSAVA LEAVES,404,Nkhwani
MWI,IHS5,CHAMWAMBA,411,Okra / Therere
MWI,IHS5,CHIBUKU BEER,908,Chibuku(commercial traditional-style beer)
MWI,IHS5,CHIGEGE,821,Chips (vendor)
MWI,IHS5,CHISOSO,404,Nkhwani
MWI,IHS5,CHITAMBE,404,Nkhwani
MWI,IHS5,COCOYAMS,208,Cocoyam (masimbi)
MWI,IHS5,COOKED SWEET POTATOES (VENDORS),831,Boiled sweet potatoes
MWI,IHS5,COW PEAS,308,Cowpea (khobwe)
MWI,IHS5,CUCUMBER,409,Cucumber
MWI,IHS5,CUSTARD APPLE,609,Apple
MWI,IHS5,DORGHUM FLOUR,108,Sorghum (mapira)
MWI,IHS5,DRAGON  FROZY,907,"Soft drinks (Coca-cola, Fanta, Sprite, etc)"
MWI,IHS5,DUCK,509,"Other poultry - guinea fowl, doves, etc"
MWI,IHS5,EGG PLANT,402,Cabbage
MWI,IHS5,EGGS PLANTS,402,Cabbage
MWI,IHS5,FIRST CHOICE MILK,701,Fresh milk
MWI,IHS5,FRIED MIXTURE OF MAIZE FLOUR/BANANA AND SODA,827,"Mandazi, doughnut (vendor)"
MWI,IHS5,FROZY,907,"Soft drinks (Coca-cola, Fanta, Sprite, etc)"
MWI,IHS5,GATHERED THERERE,411,Okra / Therere
MWI,IHS5,GRASSHOPPER,511,"Termites, other insects (eg Ngumbi, caterpillar)"
MWI,IHS5,GROUND AND COOKED BEANS,302,"Bean, brown"
MWI,IHS5,GUAVAS,606,Guava
MWI,IHS5,IRISH POTATOES,205,Irish Potato
MWI,IHS5,IRISH POTATOES AND FLOUR,821,Chips (vendor)
MWI,IHS5,JOLKY JUS,906,Freezes (flavoured ice)
MWI,IHS5,JOLLY JAS JUICE,906,Freezes (flavoured ice)
MWI,IHS5,KATATA,411,Okra / Therere
MWI,IHS5,KHOBWE,308,Cowpea (khobwe)
MWI,IHS5,KHOLOWA,404,Nkhwani
MWI,IHS5,KHUNGUZU,302,"Bean, brown"
MWI,IHS5,KHWANYA,404,Nkhwani
MWI,IHS5,KWANYA,404,Nkhwani
MWI,IHS5,LEMON,603,"Citrus â€“ naartje, orange, etc"
MWI,IHS5,LOCUST,511,"Termites, other insects (eg Ngumbi, caterpillar)"
MWI,IHS5,LUNI,404,Nkhwani
MWI,IHS5,MABILINGANO,402,Cabbage
MWI,IHS5,MAPIRA,108,Sorghum (mapira)
MWI,IHS5,MAXICAN APPLE,609,Apple
MWI,IHS5,MEAN APPLE,609,Apple
MWI,IHS5,MEXICAN APPLE,609,Apple
MWI,IHS5,MISALE,108,Sorghum (mapira)
MWI,IHS5,MIXED BEANS,302,"Bean, brown"
MWI,IHS5,MIXTURE OF MAIZE FLOUR/BANANA/SUGAR,827,"Mandazi, doughnut (vendor)"
MWI,IHS5,MKHAKA,409,Cucumber
MWI,IHS5,MPHONDA,410,Pumpkin
MWI,IHS5,MPILU,403,Tanaposi/Rape
MWI,IHS5,MTAMBE,404,Nkhwani
MWI,IHS5,MTAMBE,404,Nkhwani
MWI,IHS5,MUCUNA,837,KALONGONDA (Mucuna)
MWI,IHS5,NANAZI,604,Pineapple
MWI,IHS5,NKHUNGUZU,302,"Bean, brown"
MWI,IHS5,NKHWALI,509,"Other poultry - guinea fowl, doves, etc"
MWI,IHS5,NKHWANI,404,Nkhwani
MWI,IHS5,NTAPASHA,404,Nkhwani
MWI,IHS5,NTAPASHA (CASSAVA LEAVES),404,Nkhwani
MWI,IHS5,PEACHES,601,Mango
MWI,IHS5,PEAGION PEAS,303,Pigeon pea (nandolo)
MWI,IHS5,PEPPER,811,Spices
MWI,IHS5,PINEAPPLE,604,Pineapple
MWI,IHS5,POWDERED JUICE,906,Freezes (flavoured ice)
MWI,IHS5,PUMPKINS,410,Pumpkin
MWI,IHS5,RAPE,403,Tanaposi/Rape
MWI,IHS5,RED BEANS,302,"Bean, brown"
MWI,IHS5,ROASTED SWEET POTATO,832,Roasted sweet potatoes
MWI,IHS5,ROYCO,811,Spices
MWI,IHS5,SODA,812,"Yeast, baking powder, bicarbonate of soda"
MWI,IHS5,SOHGUM FLOUR (UFA),108,Sorghum (mapira)
MWI,IHS5,SORGHUM FLOUR,108,Sorghum (mapira)
MWI,IHS5,SOYA,301,"Bean, white"
MWI,IHS5,THERERE,411,Okra / Therere
MWI,IHS5,THERERE WACHINYOLOMONYA,411,Okra / Therere
MWI,IHS5,THERERE WAMASAMBA,411,Okra / Therere
MWI,IHS5,THUMPS UP,907,"Soft drinks (Coca-cola, Fanta, Sprite, etc)"
MWI,IHS5,TSETSENYA (LOOKS LIKE IMSECTS,511,"Termites, other insects (eg Ngumbi, caterpillar)"
MWI,IHS5,WAKA JUICE,906,Freezes (flavoured ice)
MWI,IHS5,WILD FRUIT,608,"Wild fruit (masau, malambe, etc)"
MWI,IHS5,WILD LOQUAT,608,"Wild fruit (masau, malambe, etc)"
MWI,IHS5,WILD PASSION FRUIT,608,"Wild fruit (masau, malambe, etc)"
MWI,IHS5,WILD THERERE,411,Okra / Therere
MWI,IHS5,WINE,914,Wine or commercial liquor
MWI,IHS5,YAMS,208,Cocoyam (masimbi)
MWI,IHS5,YELLOW BEANS,302,"Bean, brown"
MWI,IHS5,ZIBHWENTE,821,Chips (vendor)
MWI,IHS5,ZIBWEMPWE,821,Chips (vendor)
MWI,IHS5,ZIBWENTE,821,Chips (vendor)
MWI,IHS5,ZIGEDE,821,Chips (vendor)
MWI,IHS5,ZIWALA,511,"Termites, other insects (eg Ngumbi, caterpillar)"
MWI,IHS5,CARROT,NA,NA
MWI,IHS5,CHAFUTSA,NA,NA
MWI,IHS5,CHICK PEA,NA,NA
MWI,IHS5,CHIGWADWA(CASSAVA LEAVES),NA,NA
MWI,IHS5,CHIKANDE/ CHINAKA,NA,NA
MWI,IHS5,CHILAZI,NA,NA
MWI,IHS5,CHIMIMINA,NA,NA
MWI,IHS5,CHITAMBE(MFUTSO),NA,NA
MWI,IHS5,CONDENSED MILK,NA,NA
MWI,IHS5,CRABS,NA,NA
MWI,IHS5,DRIED CASSAVA (MAKAKA),NA,NA
MWI,IHS5,ENERGY DRINK,NA,NA
MWI,IHS5,FROZY DRINK,NA,NA
MWI,IHS5,GRAPES,NA,NA
MWI,IHS5,GREENPAPER,NA,NA
MWI,IHS5,JIGGS,NA,NA
MWI,IHS5,KAMBA,NA,NA
MWI,IHS5,KANYENYA,NA,NA
MWI,IHS5,KHALE,NA,NA
MWI,IHS5,KINDI,NA,NA
MWI,IHS5,LABLAB,NA,NA
MWI,IHS5,LAMBS PUFFS,NA,NA
MWI,IHS5,MAGAGADEYA,NA,NA
MWI,IHS5,MAGHOKOLO,NA,NA
MWI,IHS5,MAHAWADI AND BUTTER BEANS,NA,NA
MWI,IHS5,MANDALENA,NA,NA
MWI,IHS5,MATEMBA,NA,NA
MWI,IHS5,MATOKOLO,NA,NA
MWI,IHS5,MATOWO,NA,NA
MWI,IHS5,MAYONNAISE,NA,NA
MWI,IHS5,MBALAGA,NA,NA
MWI,IHS5,MBALAGA (FRIED SWEETPOTATOES),NA,NA
MWI,IHS5,MCHERENJE,NA,NA
MWI,IHS5,MFUTSO,NA,NA
MWI,IHS5,MINCE MEAT,NA,NA
MWI,IHS5,MIPOZA,NA,NA
MWI,IHS5,MOLINA LEAVES,NA,NA
MWI,IHS5,MORINGA,NA,NA
MWI,IHS5,MPAMA,NA,NA
MWI,IHS5,MPIRU,NA,NA
MWI,IHS5,MSAWAWA,NA,NA
MWI,IHS5,MUSHROOM SOUP,NA,NA
MWI,IHS5,NGWIME,NA,NA
MWI,IHS5,NKHANO,NA,NA
MWI,IHS5,NKHOWE,NA,NA
MWI,IHS5,NSAULA,NA,NA
MWI,IHS5,NSAWAWA,NA,NA
MWI,IHS5,NTHUDZA,NA,NA
MWI,IHS5,NUTS,NA,NA
MWI,IHS5,NYENJE,NA,NA
MWI,IHS5,OLIVE OIL,NA,NA
MWI,IHS5,PEANUT,NA,NA
MWI,IHS5,PEANUT BUTTER,NA,NA
MWI,IHS5,PEAS,NA,NA
MWI,IHS5,PUPWE,NA,NA
MWI,IHS5,"RASPBERRIES,STRAWBERRIES",NA,NA
MWI,IHS5,SAUSAGE,NA,NA
MWI,IHS5,SAWAWA,NA,NA
MWI,IHS5,SAYA PIECES,NA,NA
MWI,IHS5,SNACKS,NA,NA
MWI,IHS5,SOA PIECES,NA,NA
MWI,IHS5,SOAP PIECE,NA,NA
MWI,IHS5,TCHANA,NA,NA
MWI,IHS5,TIGER PUFF SNACKS,NA,NA
MWI,IHS5,TINNED BEANS,NA,NA
MWI,IHS5,WATER HYACINTH,NA,NA
MWI,IHS5,WATER MELON,NA,NA
MWI,IHS5,WATERMELON,NA,NA
MWI,IHS5,ZIMBAMBA/MAKWERA,NA,NA
MWI,IHS5,ZINYANYA,NA,NA
